rating	effectiveness	benefitsreview
4	moderately effective	none
9	considerably effective	greatly benefitted depression. i started to take this just before my child was born, having had post partum depression with another baby, and i was anticipating my life to be at least as hectic, if not more hectic, when this child was born as when the older child was born. i was very  pleased with the antidepressant effects. i never experienced any depression at all once this baby was born. i did not experience hypomania like i did with sertraline, which was a huge concern of mine. i just did not become depressed when this baby was born.
6	ineffective	quite effective without the adverse effects of aspirin, etc.because of the reported side effects of  meds i take as little as possible to maintain a relatively comfortable exixtence
10	highly effective	after having tried several over the counter treatments for this condition, this treatment was the only one that effectively treated the condition.  the itching and discoloration began to dissipate after a few days and symptoms were completely gone after two weeks.
6	considerably effective	i've only been on it for a week but i've noticed a change already. i am more awake and it seems as though a fog has been lifted. i am thinking more clearly and don't feel so down.
5	considerably effective	reduces pain
7	moderately effective	it definitely reduced the size and severity of the cold sore but now i get the more frequently.  like twice a month!!
10	highly effective	it greatly helped with my depression which was caused by a divorce after 28 years of marriage. 3 months after my separation my father died and my mother became very angry and unresponsive with me.when i started taking this medication i was able to focus better at work and at home i was able to effectively deal with my emotions, i also experienced an increase in my libido. i am still currently taking the generic form of wellbutrin sr (bupropion).
3	ineffective	i saw almost no benefits to this treatment with re: acne, though possibly there was exfoliation or collagen benefit. i believe it exacerbated my acne. on the mornings after the nights i used the cream, my acne seemed to come out much worse (particularly on the chin & jaw area where the condition was the worst).
6	moderately effective	at the highest dosage, the generic, gabapentin, seemingly reduced nerve pain resulting from peripheral neuropathy following surgery to remove neuromas in both feet (although it is a very subjective pain, which is affected by other factors: tension, sitting for prolonged periods, etc.)
9	highly effective	i could control my panic and knew i could. therefore, just having lorazepam with me was often enough. over the years, my attacks diminished, first in severity, then in quantity.
9	highly effective	the treatment benefits was estrogen replacement.  this estrogen patch system significantly reduced my headaches.  estrogen is not processed through the liver when delivered via a patch, therefore reducing hormone induced migraines   i felt normal for the first time in years after my hysterectomy.  i love this medication.
4	moderately effective	my obsessive thoughts completely disappeared. this was a huge relief because before that i was comparing myself to others 24/7. i was able to handle stressful situations calmly. nothing could make me upset.
9	considerably effective	"increased energy. better focus. better sex drive. more ""alive"" than when only taking lexapro and "
5	marginally effective	the only benefit i received from this drug was the ability to get through my day without experiencing unbearable pain. my sciatica was not a condition that flared up continually; rather, it came approximately 4-6 times per month.
6	considerably effective	it was beneficial for alleviating nervousness and feelings of anxiety. i took one half tablet or a full tablet depending upon how anxious or nervous i was feeling. if particularly anxious/nervous sometimes i took one tablet plus a half. i didnt take this medication on a daily basis, but only when i was going to be involved in a nerve wracking experience.
10	highly effective	i've been on yasmin four years now, it works so great! i have no side effects, just nausea if i take two at a time and that is hardly ever.  but my acne completely went away and no pregnancy the whole time i've been on it! would definitely recommend to anybody.
1	ineffective	none.  i went from down to   i did have reoccurring episodes (tia like - diagnosed as tia for lack of conclusive evidence or further investigation)  i now believe it was mostly stress and menopause related issues.
2	marginally effective	slight lightening of dark spots. there was really no benefit beyond this.  seems like a waste of time and in fact, just regularly applying sunscreen seems to do a better job of lightening the spots
7	considerably effective	was often so tired that i barely got through my work day and would go home and sleep.  my quality of life was pretty much non-existant as i didnt enjoy anthing because i was always too tired.  when i started provigil i quit feeling like i always needed a nap and was able to make plans with friends because i had the energy to do more than just get through 9 to 11 hour work days.
10	highly effective	my legs used to jump pretty badly and so did my arms every night about 60 times per hour, that's once a minute.  sometimes it would wake me up and other times i didnt even know i was doing it, but the doctor told me that it was still disturbing my sleep.  while taking this drug, my legs and arms only jumped about 3 times in a 6 hr period.  all documented on sleep studies.
10	highly effective	helps with concentration and staying focused. helps to keep me from being hyperactive and fidgety and helps with memory to an extent.
9	considerably effective	the treatment benefits of taking provera were very good. i had very irregular menses that lasted for long periods of time.  by taking the provera day 15-26 of my cycle my periods began to normalize and become regular again.
9	considerably effective	upon first taking the medication it significantly reduced my hunger almost to the point that i had to remind myself to eat during the day.  it also gave me alot of energy so working out didnt seem like such a chore anymore.  i felt more refreshed and awake in the morning instead of wanting to hit the snooze button over and over.
1	ineffective	i couldnt tolerate the side effects, so i was unable to experience the benefits.
9	considerably effective	resolved depression within one week. i was told it did not work that fast, but i know it did. it is
8	considerably effective	seroquel provides a good night sleep, which is very important for mood stabilization. it also helps to calm, and smooth over the rough spots of daily living, while not robbing you of your personality, ie, you still feel like yourself, just calmer.
6	moderately effective	aldara was used on several areas on my face where i had scar revision surgery to help heal surgical wound on face.  it was prescribed by my doctor to speed up healing.
6	marginally effective	the treatment benefits was a minimal weight loss, but not nearly as much as i expected.
8	considerably effective	helped with sleep. could reduce valium, without withdrawal symptoms
5	moderately effective	overall reduction in the severity of breakouts.
7	highly effective	medication helped with depression, my irritable bowel syndrome, appetite control, and there were no sexual side effects
2	considerably effective	cholesterol and  went down
9	considerably effective	dries quickly on skin, can be worn under makeup, prevented bacterial breakouts from makeup sensitivity
10	highly effective	eliminated nicotine cravings and made smoking cessation very easy.
1	highly effective	i did not get pregnant while on the depo shot... but then again my sex life was shot due to the constant bleeding.
7	considerably effective	i am able to get good restful sleep and that is so important in my pain management.
2	considerably effective	it seemed to help make me not want to smoke. i seemed to not even think about smoking at times i would normally smoke. i think it would be very effective if the side effects so great.
10	highly effective	personally, i found metronidazole to be an equivalent to a concentration drug, it severely improved my intelligence and my overall concentration, i realise now that this drug, as it may be depressing, a new chapter in my life.during the medication i received, i was severely depressed, however it got me thinking deeply towards why i was indeed depressed, and thus, i came to a solution.it completely destroyed the bacteria that was within my abscess and treated me within 3 days, and aided my mind alot.within my experience with metronidazole, i have only to thank it for my a* papers and my mental health.with that i have only this to say:take it, it aids the physical problems you have, and if your like me at all, with greater ambitions than any human can dream,  this will make you realise all the problems you encounter, and it will cleanse you of your worries.
3	considerably effective	cured the tonsilitis/strep throat
7	highly effective	is very helpful with insomnia.  was able to put racing thoughts that run threw my mind at rest.  was able to get into a deep sleep.
4	moderately effective	the drug did seem to make me feel more confident at the beginning, however towards the 10 11 months it didnt seem to work anymore.
9	highly effective	after the first two shots i had no more periods until after being off depo provera for nearly 3 months. also i didnt get pregnant, which was the goal. before getting on birth control i had been a very moody person, fighting often with people who were important to me and whom i really didnt want to fight. on the shot i still had mood swings but they were not nearly as strong.
6	moderately effective	so far so good. will know more after six month mark when x-rays are taken to see if pockets are closing. one area that was highly inflamed before the deep cleaning appears to be healing well. no inflammation there and more pink as opposed to the red color it was before.
1	ineffective	i started this medicine to help my acne, but after a couple of weeks there was no improvement at all.  in fact, my skin was worse. i've taken other antibiotics in the past and they were much more effective at clearing up my skin.  so i stopped taking the 
10	highly effective	suboxone is beneficial for two reasons:1) it eliminated the opiate withdrawal when i was kicking my original drug of choice.2) as a maintenance drug, suboxone eliminates the cravings that i would normally have for opioids, as well as blocks the effects of agonist opioids (heroin, oxycodone, etc.) so that there is no temptation to take these drugs.instead of struggling every day to avoid taking opioid drugs (and all of the terrible thing that come with being in active addiction) i can take suboxone and move on with life. suboxone may have quite literally saved my life.
2	ineffective	i could not see any benefits. i certainly did not feel any more emotionally balanced or stable than before.
10	highly effective	this treatment was easy to remember to take at only one time daily.  although i didnt miss any dose times, if i had, the directions state to take the missed dose, unless it is almost time for the next dose time which would be the following day after the missed dose.  if the latter being so, then one should wait for the next dosage.
10	highly effective	good for skin
9	considerably effective	reduced am fasting glucose
4	marginally effective	apparently, this ace inhibitor has positive effects against retinal and renal pathologies associated with diabetes and other cardio-vascular diseases.
1	ineffective	absolutley none for me.
9	considerably effective	feeling more relaxed and able to go to work, the breath slowed, shaking stopped and mood improved
7	highly effective	i needed to switch from which made me very very depressed quiet and i slept for like an hour each night with that drug it was horrible. i switched to and the first time i took it, it was like an anti depressant at first i was the normal happy hyper me but i could still focus very well on studying but when i started coming down from it that was the worst i was dry heaving with a terrible headache for an hour and then i would just throw everything up it made me very irritated i would twitch alot and my heart beat was fast and very heavy but after my second day my body started getting use to it and i havent had anymore problems with it.
9	highly effective	it allowed me to feel good enough to ignore and not be bothered by persistent thoughts and anxiety that i could not ignore before. basically it leveled me out, where the anxiety didnt affect me anymore.
2	moderately effective	at first, could actually sleep. the sleep issue has been life long and various natural things helped but not always.  as stress increased, nothing helped,not even the ativan.
9	considerably effective	my symptoms of depression were eased considerably.  i felt more like myself and began to take pleasure in activities. i stopped feeling sad and crying. i was able to concentrate again.  my appetite returned and my sleep patterns normalized.
9	considerably effective	i had severe hot flashes all day and night. the night episodes kept me awake most of the night with alternating hot, sweaty flashes, followed by teeth-rattling chills.  prempro eliminated the vast majority of episodes so i could sleep
8	considerably effective	the helped with the pain very well in the beginning after returning home from the hospital, but within a week and a half i began to feel as if it helping as much and i needed more. after my two weeks were up on taking it, i gradually just didnt need it any more.
5	marginally effective	decreased redness and by day 6. i believe the benefits were associated with the prescribed medication. however, i was also using a histamine blocking topical cream during the course of treatment.
8	considerably effective	the prevacid allows me to eat and drink certain foods/fluids that i normally could not tolerate anymore without great discomfort i.e. spicy foods, coffee, chocolate, tomato products, and alcoholic drinks, which i only drink occassionally such as red wine.  if i skip the prevacid for any reason, i almost certainly will be very uncomfortable.
10	moderately effective	i very mildly scratched my left ankle (right on the protruding bone) while snorkeling in the ocean. the abrasion was so small that i didnt do any first aid other than wash the area off when showering.over the next 3 days the are became inflamed and i began to apply antibiotic powder to try to dry the inflamed area.on the 4th morning the tiny scratch had developed to the point were the abrasion was an oozing sore about the size of a quarter and my foot was red and swollen making it impossible to put on a shoe.i immediately went to a local doctor who prescribed tablets.the drug was very effective and the effects could be felt within 24 hours.
8	considerably effective	my daughter suffered from an outbreak of painful skin boils on her lower back and stomach, probably 6 total over a few weeks.  they would heal individually after draining (also painful) but more would continually form.  the doctor diagnosed them as caused by mrsa and prescribed along with daily washes with soap.  it took 5 days for one very large, undrained boil to heal, but it did heal without draining.  more importantly, the boils stopped forming.
10	highly effective	'was diagnosed with h1n1 and was ill for at little past 3 weeks.  my doctor gave me a prescription for tamiflu (2 x day for 5 days) on the 3rd day after becoming rapidly ill (onset of high fever -- temp went from 102.8 to 103.2 pretty fast).  within a few minutes (15 - 20?) after taking it, i noticed i would feel better, and i'd start coughing up mucus from the lungs.  the feeling wore off after a few hours.  i was able to complete the full 5-day course.
1	ineffective	i did not experience any benefits whatsoever.
5	highly effective	a non return of breast cancer
10	highly effective	reduction of pain and inflammation.
8	highly effective	good unless a stop for a few days
8	considerably effective	the quality of sleep is better that other drugs i've taken is the only benefit i  find.  i tried to taper off of it and fould it very difficult the lowest dosage i can take is   a little drowsy in the morning but after a couple of cups of coffee im fine.
3	marginally effective	there was very little benefit to me. i was having psychotic episodes every day. the drug purportedly taken to stop the episodes did nothing. the best thing it did was make me drowsy and help me sleep.
7	highly effective	pregnancy prevention
8	considerably effective	significantly decreased depression and suicidality, improved sleep, more stable moods and increased energy.
1	considerably effective	the benefits were highly good in the fact that it immensely eased the pain in the joints of my mother.when she stopped taking the medication she was faced with acute pain again, so she kept on taking it.
1	highly effective	noticeable improvement within 24 hours. marked improvement within three days. cleared sinus infection and bronchitis in the ten day prescription time period.
4	marginally effective	my allergies were a little better.  my nose was not as runny.
8	considerably effective	my acne improved when accompanied by monthly exfoliation peels.
8	considerably effective	minimized pigmentation. some of my acne scar has faded but some still remain.
7	moderately effective	"the drug prevented emotional highs and lows.  specifically helped with crying too much.  lessened the intense ""caring"".  in some cases, it lessened it too much."
8	considerably effective	lessening of nerve pain, decrease in depression. medication will be increased as necessary  decrease in  shaking. exercise is needed to truly relieve pain. water based therapy can definitely add to relief from pain. depression medication helps, relieving the other symptoms, and can increase sleep. in general all treatments, lyrica, anti-depressants, muscle relaxers and exercise program (including stretching, weight-resistance, aerobic and endurance training and water exercises - this should be followed religiously) combined contribute to relieving pain, depression, control weight gain, and give patient back some resemblance of a normal live.
9	highly effective	this medication saved my life. the depression had gotten so sever that i was unable to function properly. it has made me feel like a 'real' person again. it has not done much for the anxiety, panic, or ocd. the xanax helps with that area. i will be going to the psychiatrist in 2 weeks for the anxiety, panic, and ocd. hoping to stay on the cymbalta. i was on lexapro from 2000-2006. then switched to celexa (cost reasons) from 2007-2008. the celexa just about costed me my life. it was ineffective for the depression. try not to take celexa for cost reasons, lexapro shows much more promise in its effectiveness.
10	highly effective	this drug will make a migraine sufferer I not a real believer in modern medicine--it really gets rid of the headache and allows you to live. i could not be more positive
10	highly effective	without the  every step i take makes my joints feel like cracking glass and they ache constantly. this drug greatly reduces that pain throughout the entire day.
10	highly effective	the product took great care of my razor bumps.  if i applied it at night, i was clear by the morning.  i only stopped taking it as the condition itself lessened.
10	highly effective	after having this virus for many years i resolved that i was going to look for a possible suppressant. as the medical community acknowledges once you have contacted the virus it will be awaiting an opportunity to break through - especially in times of stress or tiredness. prior to taking valtrex i was having a viral herpes attack for about 10 days at a time at least four times a year, sometimes 8 times a year.valtrex is an amazing drug!my experience has been that  if you take a tablet each day you will not transmit the virus to your partner provided that you pay attention to the first signs of the virus and abstain from intimate sexual encounters for five days or so or until you can feel or see no more signs of the virus.to be honest it frustrates me that so many people suffer from this virus but are not informed as to how to treat the problem.hope this helps and gives encouragement. for me it has been on par with a miracle. since taking the drug once daily i have had one only one potential outbreak in the past two and a half  years- at the onset of the potential outbreak i increased the dose to 3  tablets a day twice a day day for four days. this treatment suppressed the outbreak and the symptoms which i felt appeared very slightly and then disappeared within 48 hours.
8	considerably effective	if i took the zovirax at the first sign of tingling it would prevent an outbreak.  if i waited i would still get blisters but they would only last 2-3 days.
10	highly effective	resolved uti.  symptoms improved rapidly and with 3-4 days, the urge to frequently urinate had completely subsided.
10	highly effective	it has totally neutralized the effects of my reflux.
9	considerably effective	after i built up a tolerance, i had little peeling when i applied it only once a day. used in combination with  caplets (and also topical, used occasionally), i have been able to control deep acne cysts. while the  is probably the major factor, the retin-a is a good addition.
10	highly effective	relpax would take the migraine headache away, including secondary symptoms such as neck aches, jaw pain, and nausea.
10	highly effective	i got pregnant.
7	considerably effective	in comparison with other anti depression medications i have taken prior to the effexor, it actually began working faster than the others (after about 2 weeks).  most antidepressants usually take closer to 4 weeks to see improvements. depression symptoms were significantly reduced.
9	highly effective	had surgery on my neck, the reduce the pain.the help relieve th pain upto eight hours so i did not need to take as many pills to find release. this is a good thing because i do not like pills.  this medication helped tremendously 
8	highly effective	my moods have improved dramatically.  i would wake at least 3 times a night and have difficulty going back to sleep (sleep was always a problem), but now sleep is much better.  hot flashes were intense and distracting, and have since stopped.  i originally took premarin which gave me headaches.  the patch and it's consistent delivery has helped immensely to reduce number and severity of headaches.
10	highly effective	while standing, my legs were fine, but aching, cramping legs were keeping me from getting any sleep.  my doctor suggested i try  and its been the best thing i have done.
4	considerably effective	i had the accutane treatment in 1997 and the short term results (6 months - 1 years) were fantastic, with the exception that the treatment left a big scar on my face and there is nothing i can do about it. after a year i began to have acne breakouts again. now, six years later, i am also having breakouts in my back and in new places like my neck, chest, behind my ears and (believe it or not!) some in my belly. when i when back for another opinion, they wanted me to have a second accutane treatment -- no way! also, after the treatment i can't live without chapstick... my lips are always very dry. hope this helps somebody out there! bea
5	highly effective	relieved pain at first but quickly became tolerant and would wear off hours before the next dose was due
8	highly effective	the benefits of celexa have been surprising and welcome.  over the past 15 years i've been given every anti-depressant the doctors could think of.  most had no effect at all, some had such uncomfortable side effects that i couldnt take them long enough to find out if they would help at all.  one (i can't remember the name) actually lifted my depression almost immediately and made me feel great, but after about 3 weeks i was suddenly plunged into a depression that was darker and more frightening than any i'd experienced before.  i stopped taking it.
10	highly effective	restasis dramatically improved issues related to dry eyes, the primary problems were discomfort (the feeling that something was in my eye) and obvious redness.  both issues disappeared when i started taking   there was a short period where i ran out of and stopped, after about a week the dry eye symptoms had reappeared, only to do away when i resumed treatment.
9	highly effective	adjusted thyroid levels.
6	highly effective	4 periods a month 3-5 lbs weight gain
5	considerably effective	benefits were the pain relieving benefits
2	ineffective	no apparent benefits.  had virtually no effect on my depression and it quickly became intolerable to use.
9	considerably effective	differin took several months to take effect and initially seemed to make breakouts worse. after using for some time, however, breakouts ceased and skin became nearly acne-free,
2	ineffective	the xanax has a calming effect, and takes the edge off the effexor side effects.
1	considerably effective	cured the uti
10	highly effective	"subutex is mostly used to help opiate addicts withdrawal more comfortably from opioid drugs such as vicodin, oxycodone, and even heroin. however, i was started on subutex because my doctor and i were having no luck finding another med that would augment my current depression medications of effexor xr and adderall (which were only partially working). my doctor had found research suggesting that subutex, because it is a partial opiate agonist itself (although much different in its properties compared to what most think of when thinking ""opiate""), binds to one of the opiate receptors in the brain responsible for mood. my doctor has always been on the cutting edge of current research and was extremely open-minded in trying this med with me - and to welcomed relief as well! i have had almost all good results from this medication. it has definitely aided in the treatment of my very-treatment-resistent depression. the following are the benefits that i have noticed from taking subutex:     1. quick-acting - because subutex is sublingual (dissolves under your tongue) it gets into your system immediately and does not have to be processed by your digestive system first.     2. gentle effects - i have definitely not experienced any ""highs"". just a subtle, but noticeable improvement in a feeling of wellbeing.     3. also helps somewhat with anxiety by having a calming effect; in normal doses this happens without any tiredness.     4. have not noticed any of the side effects that i have found with other psychiatric medications such as weight gain/loss, personality changes, sexual effects, etc. also, in case anyone is worried that subutex is a ""partial-opiate agonist"", i must emphasize that this med does not build a tolerance or make you want/need to increase dosage. i have been on this dose for four years without ever even thinking about needing more. however!!! you must understand that - as is the case with all psychiatric medications - you cannot simply stop taking this medication without tapering your dose first or you will experience withdrawal effects. the one saving grace about subutex, though, is that it has a very long half-life and will remain in your system long enough to prevent any type of withdrawal even if you miss a day or two of medication."
5	moderately effective	it assisted the ibuprofen and cortisone in pain relief.
4	marginally effective	i originally began this treatment for acne and im still in the process of my acne treatments. however, after a little over two weeks of treatment and seeing an improvement in my skin, i went in for a pap smear and found out that i have asymptomatic chlamydia. i was prescribed 1 gram of azithromycin and while doing my research found out that the exact same dosage i've been taking of doxycycline for 1-2 weeks is considered an effective way of treating chlamydia, but clearly that did not work for me.
9	considerably effective	my hair loss was stopped and i eventually grew new hair at the hairline and where the hair had receded on the side. i do not know if it affected my crown.
10	considerably effective	i took it before bed, and it helped me get to sleep. it also helped me cope during a difficult time emotionally.
9	highly effective	elminated 95% of migraines/headaches!
4	marginally effective	nothing noticeable really, night sweats improved (slightly), memory, not as fuzzy
9	highly effective	benefits were the prevention of pregnancy, regular periods, shorter periods, and less intense pms symptoms.  my breasts went from a full c cup to a full d cup!  im on lexapro so that might be the reason i didnt experience really bad mood swings or any depression like some people said they have.  nothing really changed other than that and it's great to know when i will get my period.
8	moderately effective	the drug levothyroxine 100 mics daily that i took for hypothyroidism was advantageous for my metabolic effect. i did have more energy and felt more alert and awake, as before where i felt lethargic and brain dead.if i inadvertantly skipped a day of medication, i felt like i would notice my sluggishness a few days later.
7	considerably effective	"this medication was prescribed for its side effect of drowsiness.  although it is mainly used as an anti-depressant, in the tricyclic family, it causes considerable drowsiness at even a low dose of   this immediately helped with my insomnia.  it also caused no daytime ""hangover"" effect and the dose can be increased easily."
8	considerably effective	lowering of intraocular  pressure /keeping it under control
7	considerably effective	the symptoms and mal feelings of my prostate disappeared - but not completely (perhaps 70% of the problems disappeared .sexual function and feelings of prostate improved remarkable.(only 70% of improvement perhaps my personal problems were not solved with ibuprofen - and such problem put a lot of stress on prostate in some men)
4	moderately effective	some symptoms of depression - crying all the time, dark thoughts - were lessened, although hard to know how much benefit the treatment gave all told or whether i would have come through it anyway as i had in the past.
7	considerably effective	the drug seemed to effectively treat the symptoms of depression for a year or so.  after the first year or so the depression seemed to come back now and then - although it did seem to be cyclical.
7	moderately effective	skin looked healthier with fewer break outs and was smoother. i noticed pores becoming smaller
8	considerably effective	i have clinical depression with agitation and anger. this medication seemed to take the edge off the anger as well as decrease my depressive symptoms. i started at  then shortly increased to  which left me feeling too drugged. it was only after 12+ months of taking 10 mg that it was increased due to increasing depressive symptoms.
10	highly effective	in addition to quickly resolving bronchitis, asthma improved significantly. better breathing than i've had in months (prior to bronchitis). had horrible coughing spasms that caused me to vomit phlegm and almost strangle (several times). cough and throat irritation disappeared within 2 hours of first dose of biaxin.
10	highly effective	when the standard treatment for didnt work to raise my baseline t3 & t4 levels, i continued to experience all of the low thyroid symptomsa:  coldness, lethargic, depression, etc.  by taking on the 5 x daily basis, i have very close to normal functioning thyroid activity.
10	highly effective	accutane cleared up my skin immediately. during the first month, there was no noticeable change, but after about 5 weeks, my acne slowly disappeared and has not come back.
6	considerably effective	"the benefits helped ""curb"" the pain."
10	highly effective	i would get heart palpitations and major stress hours before my ex would come and pick up our daughter for visits; i also had difficulty sleeping if i had to deal with any issues with him; i would take one of these pills, only if i felt i needed and sometimes an hour before he would pick her up, and i would feel much calmer.  it was a life saver for  me until i got through the emotional upset and was able to detach.
1	moderately effective	my mother had slight high blood pressure and was prescribed lisinopril along with the water pill. the medication was doing its job, lowering bp to normal.
10	highly effective	the overall experience was positive, with little to no side effects, blood pressure medicine dropping blood pressure from 180/100 to 117/70 in 3 months.  lower blood pressure prevents heart disease and risk of stroke or other ailments associated with hypertension.
9	highly effective	there was a decrease in dryness and discomfort.  i thought there also was a benefit to my mood and outlook.  additionally my skin was more supple and had better color.  there was no pain associated as before.
6	moderately effective	no a.m. headaches
7	considerably effective	taking the medicine was only once a day at the time i chose to take it. it helped me most during stressed situations of any size. i could handle anything and not get angry.
7	considerably effective	significant reduction in the amount of pain that patient had on a daily basis.  pain was not only lessened by time it was felt was lessened as well
6	considerably effective	after applying the  the itching sensation reduced after 20 minutes and irritation slowly disappeared after 10 days, the irritation  occasionally re-occurred. i have applied the occasionally (about twice a month) when the irritation re-occured for about one years. now the irritation never reappears
10	highly effective	decrease in moodiness, irritability, cessation of depression/dysthymia related symptoms.
9	considerably effective	moderate growth  but no change in eyelash color
7	moderately effective	made me sleepy enough to shut down and go to bed, although it typically still took  me hours to get to sleep. the sleep that i got from this medication was deep and refreshing.
8	considerably effective	i have a recurring sinus problem wherein my nasal passages get blocked and throat and vocals are affected.this is aggravated by my smoking as well.
9	considerably effective	after about five days the yeast infection symptoms (itchiness, pain) disappeared.
8	highly effective	after one year of taking this drug pregnancy was acheived via ivf and successfully carried to term with help of blood thinner heparin
10	highly effective	it cleared up my coughing within 2 days.  i could sleep far better at night.
10	highly effective	the benefits of the treatment were clearing a fungal infection that plagued me for a few months.
8	highly effective	the made my lashes grown longer and thicker. i didnt need to use as much mascara.
10	highly effective	once a day, sometimes 2 in a 24 hour period depending on the severe headache
7	considerably effective	i took the drug shortly after having my tooth pulled.  i never noticed a great amount of pain, and contribute this to the laughing gas and during the procedure  and taking the shortly after the procedure. i took the drug twice because after several hours i started to feel pain again.  it was effective in relieving my pain.
1	moderately effective	i noticed hair regrowth in small amounts but did not know my genitals were shrinking.  a friend told me of his testicles shrinking on the drug and so i examined myself and realized that what once was, was no more.
8	considerably effective	lightning of dark pigments
10	highly effective	general medical:  the treatment is for contraception.  i used it for weight control, skin problems and as a contraception, it was very effective for all of it except that when i left the medication i experienced severe hair loss which i was not warned about
1	ineffective	none...i am to write fifty words bon the treatment benefits but since i had to discontinue the drug or die there were no benefits and i would be telling a bald faced lie if i said there were and but i will keep on typing so that i comply with the request for the fifty word minimun
8	considerably effective	when the drug actually kicked in, after about 10 days as i recall, it was an amazing experience.i got out of bed and was walking to the bathroom to shower. i was whistling!!!i stopped and thought, hey whats going on here. i realized i felt great, like a heavy weight had been lifted from my shoulders. i felt better than i had felt for a hell of a long time. never forget it, a fantastic feeling.truly helped me to cope with the stress of business and relationships.i have recommended it two occasions both had a similar experience to my own.
3	marginally effective	it controls my anger pretty good.
10	considerably effective	reduction of anxiety, better sleep quality, reduced gi symptoms (stress related)
7	considerably effective	it works very well for anxiety. as for depression, it works but when i get into an episode of major depression, it seems to be somewhat ineffective at those times.
9	considerably effective	ibuprofen generally took away the pain especially when taken early in the onset of the severe headaches.  at times when the pain was already established prior to taking the medication the pain was less effective - sometimes mildly and at other times not at all effective. ibuprofen in this dose was the medication that best took away the headache pain over any other medication. if it did not work i might try an over-the-counter (sp) product.  these were sometimes effective for mild headaches but for the severe headaches if ibuprofen didi not work, generally nothing did.
7	considerably effective	..
9	highly effective	treated the insomnia effectively.
9	highly effective	provigil allows for better wakefulness in the daytime which in turn assists in better sleep. it also indirectly boosts mood by allowing some level of function during a chronic illness where things can easily spiral downward.
10	highly effective	elimination of pain in elbow .reduction in general muscle discomfort to rest of body after gym workout.
9	highly effective	bp running normal - no seizure activity - cholesterol good
6	moderately effective	less red spots, helped remove red spots...which were usually worse after hot shower, but i enjoy that so i use the after that when symptoms are worse and it seems to help. i enjoy  coffee, wine, hot spices, hot showers, really only limit sun exposure and the seems better. also in the morning if i notice red spots it seems to help.
9	highly effective	after about an hour, headaches disappear. this drug works better for me than other drugs taken before the year 2000, such as imitrex and zomig which i took for migraines. imitrex sped up my heart which scared me. zomig took 2 hours to work for me changed my life as i finally am able to function instead of wasting a whole day in a dark room in tears from the pain of migraine. i do not miss work days anymore.
10	highly effective	i fractured of my ankle 30 years ago and about 3 years ago i developed arthritis in the same joint (but nowhere else) which was very painful and caused swelling, redness and reduced movement.  i tried all sorts of treatment (aspirin, ibuprofen and a number of recommended natural remedies, the best of which can be said they made things no worse).  i was prescribed naproxen and this has worked really well, so much so that i have thought on a couple of occasions that i have been 'cured', but within a few days of stopping the tablets twinges reappear.
10	highly effective	restored me from total incapacitation to a full function.
10	highly effective	i believe that there are multiple treatment benefits of taking tylenol for my headache. tylenol is safe, inexpensive, and does not require a physicians prescription. additionally, it is available almost everywhere and therefor is convenient.
9	highly effective	reduced panic attacks, in combination with  particularly effective when taken an hour before panic inducing situations, such as flying.
7	moderately effective	reduced redness of complexion; reduction in overall inflammation of skin; reduced breakouts of acne.
8	considerably effective	for many years, every spring i would get very troublesome nasal allergy symptoms--tingling,burning, itching, sneezing, etc. after a few days, these symptoms went away. it really surprised me because i had tried many other medicines that didnt work, that also caused severe drowsiness and dry-mouth. some years my symptoms were so bad that i couldnt go out to a restaurant or movie because i was sneezing so much. taking this medicine gave me my life back!
6	considerably effective	the medication treated the depression without the sexual side-effects that accompanied several other medications for depression.
8	highly effective	pills helped to lower my blood pressure.  also helped to relieve water retention.  eliminated headaches associated with high blood pressure.  although possibly unrelated experienced some weight loss.
8	highly effective	it is extremely, powerful antibiotic, which give immediate effect with in two hours.
8	considerably effective	density of hair was maintained and some hair regrowth that was noticeable by others. it was used in conjunction with minoxidil, which i had been using for a year or so.
8	considerably effective	lessening of suicidal ideation and an increased ability to complete daily life tasks.
8	considerably effective	the hives were controlled
2	ineffective	there were no benefits as the sniffling, dripping, coughing continued even on the medicine.
10	highly effective	for years i was sleep deprived due to working conditions.  rarely would i enjoy the luxury of a full night sleep. typically i would take hours to get to sleep and had extreme difficulty remaining asleep. dreams were too realistic and often i would be more tired in the morning than upon retiring to bed. taking lunesta has allowed me not only to get to sleep but return to sleep.  if i wake in the middle of the night, for example to go to the bathroom, i am awake and not stumbling. the vivid dreams are gone and i have experienced no groggy or hungover symptoms that you sometimes hear of when taking sleep medication. it has truly changed my life and i am so grateful for my dr. for his prescription.
8	considerably effective	this medication enabled me to think clearly.  my thought processes were more coherent.  it assisted me in concentrating and therefore i was able to complete tasks --- finally had follow-thru! i was able to manage my time better.
8	highly effective	prevented 90% of tachycardia incidents. when tachycardia did occur it was less dramatic
7	considerably effective	my ovulation cycle was regulated, however i did not get pregnant.  i am continuing to take it this month.
10	highly effective	it lowered my cholesterol considerably.  my total cholesterol was over 300 and my were over 200, but after being on lipitor for three months, my total cholesterol is now 186 and my ldl is 86, so i am in good shape.  in addition, i have experienced no side effects whatsoever, so i am pleased.  the only drawback is that it does not come in generic form, so my co-pay is $40.00 per month.
5	considerably effective	when i was having a severe reaction normal antihistamines would not stop it so i needed to use which stopped problem within 30 minutes and the residual effects lasted on a a day or two.
1	ineffective	none
